ID	Stromal_score	Immune_score	ESTIMATE_score	CancerType
TCGA-OR-A5K3-01	-1069.33662	218.1106325	-851.2259871	ACC
TCGA-OR-A5J2-01	-734.6198067	-405.1996693	-1139.819476	ACC
TCGA-OR-A5LN-01	-703.657389	1014.610286	310.952897	ACC
TCGA-OR-A5KY-01	-613.8854545	-181.2968535	-795.182308	ACC
TCGA-OR-A5LG-01	-657.30893	223.0841627	-434.2247673	ACC
TCGA-OR-A5JC-01	-885.0959582	-123.8187524	-1008.914711	ACC
TCGA-OR-A5JV-01	-347.3799236	1350.673177	1003.293253	ACC
TCGA-OU-A5PI-01	-796.576003	-753.0697841	-1549.645787	ACC
TCGA-OR-A5KO-01	-1585.826866	-1084.358707	-2670.185572	ACC
TCGA-OR-A5JP-01	-911.9556005	-748.3653275	-1660.320928	ACC
TCGA-OR-A5L9-01	-429.8480077	920.1049967	490.2569891	ACC
TCGA-OR-A5JO-01	463.7973662	1867.400682	2331.198048	ACC
TCGA-OR-A5JX-01	-1009.26997	-192.5597284	-1201.829699	ACC
TCGA-PA-A5YG-01	-196.8143625	980.0583421	783.2439796	ACC
TCGA-OR-A5LD-01	-1243.827139	-836.3831724	-2080.210312	ACC
TCGA-OR-A5LL-01	-1108.547632	-503.973459	-1612.521091	ACC
TCGA-OR-A5K8-01	-1186.597528	-355.3251808	-1541.922709	ACC
TCGA-OR-A5KW-01	-1118.749125	-826.7471825	-1945.496308	ACC
TCGA-OR-A5J9-01	-1167.351054	-616.83153	-1784.182584	ACC
TCGA-OR-A5L8-01	-1097.745644	-1052.179696	-2149.92534	ACC
TCGA-OR-A5J6-01	-775.1877437	478.3539165	-296.8338272	ACC
TCGA-OR-A5JJ-01	-1248.815647	-595.6132862	-1844.428933	ACC
TCGA-OR-A5LJ-01	-1465.677807	-234.7723667	-1700.450174	ACC
TCGA-OR-A5JM-01	-1547.335875	-1157.46414	-2704.800014	ACC
TCGA-PK-A5HB-01	-1132.563103	-440.0207526	-1572.583856	ACC
TCGA-OR-A5JF-01	-1054.130563	-716.9115831	-1771.042146	ACC
TCGA-OR-A5K9-01	-1082.242156	-786.3857387	-1868.627895	ACC
TCGA-OR-A5LM-01	-1289.497444	-357.1241916	-1646.621635	ACC
TCGA-OR-A5KZ-01	-718.1888481	-277.6315605	-995.8204085	ACC
TCGA-PK-A5H8-01	-1053.919498	-71.213439	-1125.132937	ACC
TCGA-OR-A5J7-01	-1280.819471	-654.5533931	-1935.372864	ACC
TCGA-P6-A5OG-01	634.6588523	1749.760929	2384.419781	ACC
TCGA-OR-A5K1-01	-801.8127329	85.1949809	-716.617752	ACC
TCGA-OR-A5LT-01	-1352.604839	-631.690811	-1984.29565	ACC
TCGA-OR-A5L6-01	-975.1066192	185.9079092	-789.1987099	ACC
TCGA-OR-A5JW-01	-1140.732629	-312.127649	-1452.860278	ACC
TCGA-OR-A5LE-01	-1779.236093	-1134.337859	-2913.573952	ACC
TCGA-OR-A5JA-01	-1452.423131	-319.170178	-1771.593309	ACC
TCGA-OR-A5J5-01	-1639.7048	-532.1459748	-2171.850775	ACC
TCGA-OR-A5JZ-01	-1102.784096	28.3653658	-1074.41873	ACC
TCGA-OR-A5JI-01	-213.5295564	444.3896026	230.8600462	ACC
TCGA-OR-A5LA-01	-196.1928698	936.6875548	740.494685	ACC
TCGA-PK-A5HA-01	-156.035387	843.5430574	687.5076704	ACC
TCGA-OR-A5JQ-01	-293.901529	644.2838209	350.3822919	ACC
TCGA-OR-A5JE-01	-872.8719343	31.208273	-841.6636613	ACC
TCGA-OR-A5KU-01	-1116.457169	-857.155588	-1973.612757	ACC
TCGA-OR-A5LB-01	-1424.016335	-1020.626752	-2444.643087	ACC
TCGA-OR-A5K5-01	-1347.430724	-551.4821132	-1898.912837	ACC
TCGA-OR-A5J8-01	1305.284913	1850.355527	3155.64044	ACC
TCGA-OR-A5L5-01	-116.4396397	627.1826239	510.7429842	ACC
TCGA-OR-A5J3-01	-1311.336061	-690.1069412	-2001.443002	ACC
TCGA-OR-A5LS-01	-1454.449784	-886.065069	-2340.514853	ACC
TCGA-OR-A5LH-01	-1184.913403	52.6380068	-1132.275397	ACC
TCGA-OR-A5JL-01	-1254.184508	-93.1739622	-1347.35847	ACC
TCGA-OR-A5JG-01	-932.9527841	-267.665202	-1200.617986	ACC
TCGA-OR-A5LO-01	-1626.214949	-1232.342872	-2858.55782	ACC
TCGA-OR-A5L3-01	-1133.040496	-260.1837254	-1393.224221	ACC
TCGA-OR-A5LC-01	-712.8501924	-430.1261363	-1142.976329	ACC
TCGA-P6-A5OF-01	-852.2082001	-361.069257	-1213.277457	ACC
TCGA-OR-A5KX-01	-1395.784252	-418.0564025	-1813.840654	ACC
TCGA-OR-A5K4-01	-1839.230567	-835.3953403	-2674.625907	ACC
TCGA-OR-A5J1-01	-1096.153191	-162.5309172	-1258.684108	ACC
TCGA-OR-A5JT-01	-1244.169929	-327.3112228	-1571.481152	ACC
TCGA-OR-A5JB-01	-687.2574169	1674.150028	986.8926106	ACC
TCGA-OR-A5JY-01	-1152.217626	102.7416574	-1049.475968	ACC
TCGA-OR-A5JR-01	-1083.100019	158.0195552	-925.080464	ACC
TCGA-OR-A5KV-01	-1463.493147	-1110.845672	-2574.338819	ACC
TCGA-OR-A5K6-01	-942.954543	-26.7306757	-969.6852186	ACC
TCGA-OR-A5JS-01	-1495.589985	-741.1605835	-2236.750569	ACC
TCGA-OR-A5LP-01	-131.6036072	431.5943813	299.9907741	ACC
TCGA-OR-A5LK-01	-400.2596486	1545.871847	1145.612198	ACC
TCGA-OR-A5JK-01	-404.5029958	1287.853974	883.3509781	ACC
TCGA-OR-A5JD-01	-821.8793425	551.0060018	-270.8733407	ACC
TCGA-OR-A5L4-01	-664.4617042	-158.621477	-823.0831812	ACC
TCGA-OR-A5KT-01	151.4184454	1031.766872	1183.185317	ACC
TCGA-PK-A5H9-01	-441.1852796	102.7945346	-338.390745	ACC
TCGA-OR-A5K0-01	-1548.398125	-622.0471951	-2170.44532	ACC
TCGA-MV-A51V-01	-1482.440867	-652.9871548	-2135.428022	BLCA
TCGA-FD-A3SR-01	30.798278	864.3984946	895.1967726	BLCA
TCGA-DK-A6B0-01	-1876.509339	-275.8669829	-2152.376321	BLCA
TCGA-FD-A5BS-01	1357.673855	3034.540398	4392.214253	BLCA
TCGA-DK-A1AD-01	-597.7634128	252.9509186	-344.8124942	BLCA
TCGA-XF-AAMQ-01	-913.5435188	1025.893252	112.3497333	BLCA
TCGA-FT-A3EE-01	-1290.699063	-220.0465488	-1510.745612	BLCA
TCGA-ZF-AA4T-01	-1897.760531	-471.9079689	-2369.6685	BLCA
TCGA-E7-A3X6-01	-855.7746054	988.966444	133.1918386	BLCA
TCGA-GU-A762-01	149.8877513	2267.37716	2417.264911	BLCA
TCGA-FD-A43S-01	561.1244433	2149.773227	2710.89767	BLCA
TCGA-XF-A8HE-01	-563.9500746	1260.132206	696.1821316	BLCA
TCGA-BT-A42F-01	-462.785679	1926.470468	1463.684789	BLCA
TCGA-G2-A3IB-01	-1650.107777	-214.9212785	-1865.029055	BLCA
TCGA-CU-A3KJ-01	-1199.822027	363.9749673	-835.8470597	BLCA
TCGA-DK-A3IS-01	-1987.952972	-245.9619844	-2233.914957	BLCA
TCGA-E5-A4U1-01	-2141.488646	-972.2246728	-3113.713319	BLCA
TCGA-XF-A8HF-01	-419.8636875	360.1347099	-59.7289776	BLCA
TCGA-KQ-A41P-01	-340.0672665	395.8994359	55.8321694	BLCA
TCGA-BL-A13I-01	607.9654299	2102.894568	2710.859998	BLCA
TCGA-ZF-AA4W-01	-1515.881019	-54.2783042	-1570.159324	BLCA
TCGA-UY-A9PA-01	-1832.478406	714.4591485	-1118.019258	BLCA
TCGA-E5-A2PC-01	-1701.842423	419.4928302	-1282.349593	BLCA
TCGA-UY-A9PE-01	-781.6639471	-299.1102817	-1080.774229	BLCA
TCGA-XF-A9SV-01	-76.0205781	-156.1142601	-232.1348382	BLCA
TCGA-E7-A6MF-01	-2029.52232	-298.3651713	-2327.887491	BLCA
TCGA-ZF-AA56-01	-474.2691909	943.5310171	469.2618262	BLCA
TCGA-DK-AA6X-01	-840.3181766	750.0963665	-90.2218101	BLCA
TCGA-ZF-A9R9-01	408.1489518	418.89693	827.0458818	BLCA
TCGA-DK-AA6S-01	499.7126239	1048.129635	1547.842259	BLCA
TCGA-KQ-A41S-01	41.0386651	199.8239193	240.8625844	BLCA
TCGA-YF-AA3M-01	-1658.992577	-166.5383594	-1825.530937	BLCA
